time,Mbol,u_lsst,g_lsst,r_lsst,i_lsst,z_lsst,Y_lsst,
1.776965213E9,-1.321659948,0.0682663189092692,-1.20282015174631,-1.45028145860542,-1.46536123755947,-1.42861572176878,-1.42468187852121,0.97997
1.776965425E9,-1.3194789,0.0723509025958546,-1.19961315985527,-1.44812415683869,-1.463778401195,-1.42732438194134,-1.42344628342794,0.97997
1.776965637E9,-1.317406831,0.0762566342911943,-1.19655364913425,-1.44607511191569,-1.462282357857,-1.42610901853157,-1.42228469531221,0.97997
1.776965848E9,-1.31516171,0.0804262510474327,-1.19326995955717,-1.44385368139627,-1.46064238400711,-1.42476364677029,-1.42099552959709,0.97997
1.77696606E9,-1.312936851,0.0845562270379461,-1.19001687059962,-1.44165222721315,-1.45901660768714,-1.42342943107614,-1.41971693309564,0.97997
1.776966272E9,-1.310755446,0.0887877855594712,-1.18658121069345,-1.43946629312512,-1.45746719107181,-1.42219457478656,-1.41853511581766,0.97997
1.776966483E9,-1.308490501,0.0931603667823602,-1.18301476753845,-1.43719425421999,-1.45585138749636,-1.42090221238305,-1.41729663937924,0.97997
1.776966695E9,-1.306233184,0.0975116270137932,-1.17946401301897,-1.43492980162683,-1.45423910117819,-1.41961121860061,-1.4160591308866,0.97997
1.776966907E9,-1.303959836,0.101880081081022,-1.17589586428173,-1.43264917577704,-1.45261130911187,-1.41830486314609,-1.41480621584006,0.97997
1.776967118E9,-1.301692863,0.106229192612792,-1.17234169566173,-1.43037487966006,-1.45098600601919,-1.41699896304581,-1.41355337391259,0.97997
1.77696733E9,-1.299370185,0.11066007364962,-1.16871465930649,-1.42804456696566,-1.44931329505469,-1.4156496412918,-1.41225766133857,0.97997
1.776967542E9,-1.297114838,0.114972227990551,-1.16518695091387,-1.4257818042374,-1.44769203183262,-1.41434381162979,-1.41100414145009,0.97997
1.776967753E9,-1.294970614,0.119094266857708,-1.16181988491106,-1.42363057463473,-1.44615739093679,-1.41311239768055,-1.40982308016302,0.97997
1.776967965E9,-1.292654837,0.12348670258448,-1.15821791520683,-1.42130698262483,-1.44448221248375,-1.41175565632351,-1.40851898187325,0.97997
1.776968177E9,-1.290366892,0.127824645992018,-1.15466008424547,-1.41901127448161,-1.44282670137697,-1.41041444572257,-1.40722970772469,0.97997
1.776968388E9,-1.288092993,0.132130524453646,-1.15112712465371,-1.41672960582092,-1.44117976814498,-1.40907901045463,-1.40594570936459,0.97997
1.7769686E9,-1.285913713,0.136273036771881,-1.14773181756878,-1.41454290054,-1.43960614594329,-1.40780626799477,-1.40472269482782,0.97997
1.776968812E9,-1.283630756,0.140575235975254,-1.1441966705546,-1.41225200333675,-1.43794648949708,-1.40645610116927,-1.40342352407553,0.97997
1.776969023E9,-1.281346593,0.144870152945096,-1.1406651016749,-1.40995983036505,-1.43628313154701,-1.40510090381587,-1.40211905248877,0.97997
1.776969235E9,-1.279034704,0.14920097925991,-1.1371000086605,-1.40763974705858,-1.43459475683955,-1.40372193076503,-1.40079093294857,0.97997
