time,Mbol,u_lsst,g_lsst,r_lsst,i_lsst,z_lsst,Y_lsst,col9
5.208082345E9,-4.246866844,-2.12831340531532,-3.84697922003118,-4.37044440302694,-4.50160933230588,-4.531468327929,-4.55163585955751,10.7762
5.208084522E9,-4.249091213,-2.13276591285613,-3.85018991667103,-4.37290075320929,-4.50374320077025,-4.5334275908033,-4.55352263716034,10.7762
5.208086699E9,-4.251297507,-2.13715162650232,-3.85336220275945,-4.37533468327314,-4.50586124340366,-4.53537463921371,-4.55539874866145,10.7762
5.208088876E9,-4.253351383,-2.14115599225927,-3.85628375208325,-4.37759416067555,-4.50783684103879,-4.53719664509039,-4.55715716505618,10.7762
5.208091053E9,-4.2553612,-2.14503493320734,-3.85912671239741,-4.37980198991107,-4.50977201350467,-4.53898434638272,-4.55888387763426,10.7762
5.208093229E9,-4.257379692,-2.14884191549471,-3.86195925604285,-4.38200203450328,-4.51170149263679,-4.54077310935992,-4.56061409105003,10.7762
5.208095406E9,-4.259294344,-2.15226537543325,-3.86459295696068,-4.38405620579388,-4.51350915682313,-4.54246251100138,-4.56225369205923,10.7762
5.208097583E9,-4.261003923,-2.15522047972169,-3.86690149328415,-4.38588377546537,-4.51513115474474,-4.54398599918412,-4.56373589607133,10.7762
5.20809976E9,-4.262558142,-2.15781781194108,-3.86896243880739,-4.38753948405906,-4.51661272576017,-4.545384230893,-4.56509938802137,10.7762
5.208101936E9,-4.264070143,-2.16030790854449,-3.87095186078475,-4.38914784209735,-4.51805692105525,-4.54674991539383,-4.56643242617338,10.7762
5.208104113E9,-4.265526447,-2.16266231782023,-3.87284937483839,-4.39069410651535,-4.51945135443352,-4.54807180006678,-4.56772424425064,10.7762
5.20810629E9,-4.266963039,-2.16496141168632,-3.87471127106909,-4.39221792267259,-4.52082874779298,-4.54937927010456,-4.56900279035526,10.7762
5.208108467E9,-4.268340176,-2.16711840450607,-3.87647621984751,-4.39367563327653,-4.52215280691355,-4.5506395765015,-4.57023684030161,10.7762
5.208110643E9,-4.269642404,-2.16910028939314,-3.87812068635904,-4.39505031002906,-4.52340936074203,-4.55183987391051,-4.57141411826496,10.7762
5.20811282E9,-4.27084534,-2.1708543743698,-3.87960727808969,-4.39631520429557,-4.52457609860333,-4.55295998617651,-4.57251536590681,10.7762
5.208114997E9,-4.272131302,-2.17278343725785,-3.88121931262457,-4.39767089227902,-4.52581915380793,-4.55414945949594,-4.57368298885996,10.7762
5.208117174E9,-4.273273228,-2.17438756538394,-3.88260466748252,-4.3988676838961,-4.52693148653207,-4.55522178963881,-4.57473932168101,10.7762
5.20811935E9,-4.274535467,-2.17625066220841,-3.88417409293606,-4.40019639504741,-4.52815398760573,-4.55639382864588,-4.57589086702245,10.7762
5.208121527E9,-4.275893941,-2.17832048115539,-3.88589057340631,-4.40163059777706,-4.52946464295147,-4.55764568941529,-4.57711865163628,10.7762
5.208123704E9,-4.277392349,-2.18069395744516,-3.88782218325149,-4.40321839287265,-4.53090324238926,-4.55901316339386,-4.57845674405568,10.7762
5.208125881E9,-4.279084195,-2.18348975512863,-3.89005226216935,-4.40501867244496,-4.53251850549097,-4.5605400772184,-4.57994686229892,10.7762
5.208128058E9,-4.280879662,-2.18651058048143,-3.89244171555798,-4.4069326979075,-4.53422849995566,-4.56215259063168,-4.58151864832469,10.7762
5.208130234E9,-4.28286117,-2.18993863816244,-3.89511867361439,-4.40905115118973,-4.53610832153027,-4.56391830163708,-4.5832364701023,10.7762
5.208132411E9,-4.285084555,-2.19389728577755,-3.89816990547837,-4.41143546016485,-4.53820885114717,-4.56588302097175,-4.58514395333778,10.7762
5.208134588E9,-4.287561941,-2.19841359949797,-3.90161437484882,-4.4140989818469,-4.54054111527967,-4.56805665967339,-4.58725052663713,10.7762
5.208136765E9,-4.290239605,-2.20336936088504,-3.9053687951044,-4.41698264332925,-4.54305612381687,-4.57039508428566,-4.58951414631601,10.7762
5.208138941E9,-4.293292081,-2.20914930536107,-3.90970402856217,-4.42027840249824,-4.54591298819853,-4.57304161171611,-4.59207132500967,10.7762
5.208141118E9,-4.296670211,-2.2156446842655,-3.91454362171395,-4.42393216873724,-4.54906692672937,-4.57595594741471,-4.59488369897711,10.7762
5.208143295E9,-4.300333268,-2.22276538408542,-3.91982422671123,-4.42789912741967,-4.55248083944359,-4.5791047102234,-4.59791948724818,10.7762
5.208145472E9,-4.304345724,-2.23065302340758,-3.92564568607043,-4.43225015425108,-4.55621354196927,-4.58254092414555,-4.60122921757213,10.7762
5.208147648E9,-4.308750696,-2.23940165694794,-3.93207449385197,-4.4370326064901,-4.56030442075519,-4.58630015303227,-4.60484680586836,10.7762
5.208149825E9,-4.313726413,-2.24940315711196,-3.93938681896775,-4.44244244048256,-4.56491603727051,-4.59052891380895,-4.60891185503772,10.7762
5.208152002E9,-4.319069587,-2.26020794762153,-3.94726655765033,-4.44825597939425,-4.56986318309552,-4.59506050816536,-4.61326563994715,10.7762
5.208154179E9,-4.324788798,-2.27183323406517,-3.95572630142131,-4.4544825491314,-4.57515381585559,-4.59990224805435,-4.61791519379572,10.7762
5.208156356E9,-4.330826835,-2.28415062487478,-3.96467629798378,-4.46105907963758,-4.58073595991096,-4.6050075037139,-4.62281619041765,10.7762
5.208158532E9,-4.337610038,-2.29809800930344,-3.97477737831135,-4.46845434847681,-4.58699843850184,-4.61072668411263,-4.62830248436183,10.7762
